Size,MergeSort,Hybrid5,Hybrid10,Hybrid15,Hybrid20,Hybrid30,Hybrid50
500,418.6,145.8,99.8,93.2,71.4,74.6,58.2
600,466.2,157,106.4,106,79.6,79.8,67
700,551.2,208.4,162,114.4,114.8,88,70.4
800,629.2,270.2,178.4,125.8,125.2,98.4,84.8
900,709,284.2,193.6,139.4,138.8,110,112.6
1000,787,298.2,200.6,186.6,147,152.6,116
1100,865.6,308,210.4,216.6,156.2,163.4,126.6
1200,949.6,328.2,223.2,228.2,171.2,173.4,140.2
1300,1060,363.4,269.4,241.2,219.4,186.6,167
1400,1131,457.8,345.2,262.6,250.8,202.2,159
1500,1201.8,518.8,361.2,258.2,292,246,171.6
1600,1302,555.4,376,263.2,265.8,209,170.6
1700,1362,559,394.4,284.2,283,225.4,222.2
1800,1424,571.8,389.8,277.6,278,219.4,215.8
1900,1518,605.6,399.4,290.2,293.4,223.4,224
2000,1586.6,613.2,427.2,387.6,315.4,320.4,250.4
2100,1676,618,421.2,437.4,314.8,325.6,247.4
2200,1744.6,617.6,449.4,434.2,341.2,325.2,276.4
2300,1810.6,640.8,449.4,474,332.4,345,267.4
2400,1878.2,643,482.6,487.6,351.8,334.2,285.8
2500,1980.8,680.6,463.2,478.2,349.8,365.4,285
2600,2091.6,711.6,518.8,473,408.2,359.2,303.2
2700,2146.8,796.6,582.8,519.4,478,373.8,287.4
2800,2217.6,851.8,686.6,481.2,539.4,369.8,311.8
2900,2285.8,964.2,714.4,506,505.4,391.6,319
3000,2448.6,1022.2,753.2,518.2,544.6,411.4,340.6
3100,2491,1105.4,746.2,536,532.2,423.2,341.4
3200,2560.2,1117.2,761.6,542.8,542.2,424.2,351.8
3300,2651.2,1136.2,767.6,560,552.2,438.6,434.2
3400,2713.6,1138.2,820.2,563,560.2,428.6,431
3500,2795.8,1137.6,788.8,571.2,573.4,445.4,447.8
3600,2848.4,1155.8,791.6,582,572.6,460.4,454
3700,2940.6,1176.2,814,591,592.6,465.6,463.2
3800,3015.6,1191.6,812.8,603.4,593.2,478.6,465.4
3900,3085.6,1200.2,833,673.8,608.2,541.4,472.4
4000,3339,1179.8,878.6,773.4,643,641.2,515.2
4100,3141,1224.8,848.8,877.2,651.8,679.6,522.2
4200,3362.2,1214.4,888,851.8,673.2,652,548.4
4300,3408,1279.4,876.2,902,661.2,684.6,525.4
4400,3485.6,1234.4,913.4,878,689.6,663.2,569
4500,3495.4,1302,904.6,929.6,691.2,699.6,591.8
4600,3611,1274.2,978.2,965,728.2,715,588.8
4700,3742.2,1338.4,941.6,955.8,701.4,731,579
4800,3783,1314.8,1002.6,932.4,765.4,736.2,693.2
4900,4502,1420.6,962.2,991.4,740.8,763.4,602.4
5000,4090.6,1384.8,1003.2,974,771.8,746,635.2
5100,4207.6,1429.8,984,1007.6,761.6,786,622.8
5200,4247.6,1472.4,1101.8,994.6,874.2,769,654.8
5300,4281.6,1594,1160.6,1058.8,978,851.8,636.6
5400,4429.6,1648.8,1333.4,1073.2,1131,809.4,670.8
5500,4446.4,1759,1343.4,1070.4,1033.4,832.6,643.2
5600,4576.2,1805.8,1471.8,1040.6,1071.2,815.8,684.4
5700,4636.8,1908.8,1497.6,1078,1073.6,847.8,685.2
5800,4714.2,1998,1498.6,1073.8,1084.4,842.6,686.6
5900,4820,2054.2,1531,1105.4,1105,865.4,714
6000,4830,2126,1502.8,1092.4,1092,860.4,703.2
6100,4848.2,2183.6,1509.6,1103.6,1098.4,878.8,713.2
6200,4947.4,2213,1515.4,1127,1101.4,871.4,712.4
6300,5017.4,2240.6,1629,1160.6,1119.2,893.2,726.6
6400,5086.6,2255.6,1537,1125.6,1136.6,935.8,735.2
6500,5206.2,2288.4,1565.6,1152.4,1143.4,914,890.2
6600,5473.4,2332.2,1609.2,1153,1172,911,920.4
6700,5412.2,2313,1612.8,1193.6,1183.8,947,935.2
6800,5327.4,2299.8,1606.8,1180.2,1184.2,926.8,946.2
6900,5489.2,2370,1635.8,1266.6,1203.8,967.2,957.8
7000,5674.2,2384.2,1664.8,1220.8,1228,966,975.4
7100,5729.4,2388,1629.2,1218.8,1199.8,962.4,953.2
7200,5728.6,2418.4,1838,1267.6,1278.8,1019.6,1001.6
7300,5968.2,2470.2,1872.8,1386,1259.2,1014.6,1011
7400,6151.4,2474.8,2032.8,1377.2,3071.8,1008.2,1030.6
7500,6600,2648.2,1746.8,1299.8,1286.8,1042.2,1024.6
7600,6184.6,2479,1829,1313.8,1307.8,1026.4,1063.8
7700,6243.4,2518.4,1737.8,1320.6,1287.8,1063.6,1031.8
7800,6331.4,2473.2,1803.6,1418.6,1365.4,1174.6,1094.6
7900,6369.2,2552.6,1782,1562.2,1328.6,1331.2,1054.2
8000,6479.6,2516,1843.2,1784.2,1406.8,1337.8,1133
8100,6508.4,2574.6,1799.6,1764.2,1345.6,1405.2,1084.4
8200,6627.2,2516.8,1855.2,1789,1398.6,1347,1140.2
8300,6682.8,2618.8,1844.6,1884.2,1390,1439.6,1117.2
8400,6817.4,2606,1977.4,1847.6,1476.4,1416.8,1193.8
8500,6921,2663.4,1865,1928.4,1431.8,1488,1158.6
8600,6947.6,2599.4,1942.4,2226.6,1488.2,1647.4,4821
8700,7028.4,2687.2,1882.4,1973,1479.4,1499.2,1528.6
8800,7152.4,2683.8,1977.6,1920.4,1537.8,1478.6,1255
8900,7263.6,2746.8,1978.4,2138.6,1532.2,1565.6,1267.8
9000,7333.8,2704.4,2014.8,1958.6,1568.8,1512.8,1296.8
9100,7378,2737.4,1958.2,2008.8,1525.8,1568.8,1249.4
9200,7481,2687.6,1997.4,1939.8,1555.4,1483.4,1268.2
9300,7354.6,2696.4,1935.2,2006.6,1535.2,1607.8,1253
9400,7687.6,2752.6,2000.4,2078.2,1622,1538,1306
9500,7750,2814,1981.8,2040.6,1560.2,1608.2,1268
9600,7877.8,2814.4,2098.4,2043.8,1669,1577.6,1362.6
9700,7882.2,2844.8,2027.2,2041.6,1541.4,1609.8,1269.8
9800,7866.6,2730.6,2014,1980.8,1628.6,1560.8,1365.4
9900,8025,2912,2063,2069.6,1587.6,1630.8,1290.6
10000,8058.6,2815,2088.8,2016.8,1627,1571.6,1363.8
